epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
71,1957.02,0.52967,0.47376,0.84378,0.99451,0.99612,0.99491,0.89328,0.45179,0.44135,0.82372,0.000307,0.000307,0.000307
72,1984.14,0.52208,0.49195,0.85075,0.99457,0.99608,0.99494,0.89223,0.45142,0.43761,0.82413,0.0002971,0.0002971,0.0002971
73,2011.1,0.49762,0.46399,0.83765,0.99473,0.99607,0.99494,0.89615,0.4537,0.4371,0.82548,0.0002872,0.0002872,0.0002872
74,2038.13,0.53415,0.48355,0.84133,0.99498,0.99605,0.99494,0.88755,0.47468,0.4383,0.83003,0.0002773,0.0002773,0.0002773
75,2065.19,0.5389,0.48341,0.83789,0.99536,0.99605,0.99494,0.88675,0.48069,0.43283,0.83122,0.0002674,0.0002674,0.0002674
76,2092.44,0.52014,0.46312,0.8444,0.99578,0.99606,0.99494,0.89127,0.46888,0.42542,0.82822,0.0002575,0.0002575,0.0002575
77,2119.51,0.50046,0.46269,0.8287,0.9955,0.99611,0.99494,0.89377,0.46027,0.419,0.82499,0.0002476,0.0002476,0.0002476
78,2146.69,0.50796,0.45285,0.82819,0.9955,0.99611,0.99494,0.89377,0.46027,0.419,0.82499,0.0002377,0.0002377,0.0002377
79,2173.74,0.51229,0.45332,0.83532,0.99472,0.99615,0.99494,0.89541,0.45655,0.41729,0.8243,0.0002278,0.0002278,0.0002278
80,2200.82,0.51034,0.45564,0.83206,0.99653,0.99388,0.99494,0.89922,0.44639,0.41607,0.82353,0.0002179,0.0002179,0.0002179
81,2228.08,0.50013,0.46354,0.83369,0.99667,0.9938,0.99494,0.90314,0.44451,0.41946,0.82438,0.000208,0.000208,0.000208
82,2254.94,0.49125,0.47022,0.83406,0.99684,0.99379,0.99494,0.9043,0.4414,0.42497,0.82348,0.0001981,0.0001981,0.0001981
83,2282.09,0.48827,0.4416,0.82713,0.99743,0.99377,0.99494,0.90261,0.43673,0.42514,0.82171,0.0001882,0.0001882,0.0001882
84,2309.16,0.48228,0.44679,0.82529,0.99784,0.99376,0.99494,0.89869,0.43972,0.42353,0.82141,0.0001783,0.0001783,0.0001783
85,2336.11,0.49829,0.45517,0.83226,0.99815,0.99377,0.99494,0.89815,0.44435,0.42051,0.8216,0.0001684,0.0001684,0.0001684
86,2364.16,0.50909,0.44984,0.82897,0.99815,0.99377,0.99494,0.89815,0.44435,0.42051,0.8216,0.0001585,0.0001585,0.0001585
87,2391.55,0.49855,0.46251,0.8314,0.99839,0.99379,0.99494,0.90081,0.44342,0.41804,0.82227,0.0001486,0.0001486,0.0001486
88,2418.17,0.4788,0.45415,0.8408,0.99852,0.99384,0.99494,0.90097,0.44002,0.41505,0.82255,0.0001387,0.0001387,0.0001387
89,2445.27,0.4962,0.4626,0.83107,0.99838,0.99383,0.99494,0.89978,0.43814,0.41167,0.82283,0.0001288,0.0001288,0.0001288
90,2472.7,0.48101,0.44761,0.83677,0.99802,0.99386,0.99494,0.89929,0.43604,0.40913,0.82257,0.0001189,0.0001189,0.0001189
91,2499.49,0.47892,0.46746,0.80945,0.99748,0.99387,0.99497,0.89927,0.43381,0.40599,0.82154,0.000109,0.000109,0.000109
92,2526.08,0.47739,0.47072,0.81416,0.99684,0.99397,0.99497,0.90121,0.43341,0.40748,0.82094,9.91e-05,9.91e-05,9.91e-05
93,2552.37,0.4565,0.43778,0.8181,0.99435,0.99614,0.99497,0.89962,0.43438,0.41414,0.82007,8.92e-05,8.92e-05,8.92e-05
94,2578.76,0.46476,0.4469,0.81019,0.99435,0.99614,0.99497,0.89962,0.43438,0.41414,0.82007,7.93e-05,7.93e-05,7.93e-05
95,2605.07,0.47381,0.45505,0.82145,0.99438,0.99612,0.99497,0.89985,0.4381,0.42281,0.81975,6.94e-05,6.94e-05,6.94e-05
96,2631.45,0.44744,0.44249,0.82681,0.99226,0.99919,0.995,0.89822,0.43927,0.42745,0.81948,5.95e-05,5.95e-05,5.95e-05
97,2657.93,0.45389,0.45451,0.80204,0.99255,0.99922,0.995,0.89799,0.43872,0.43051,0.81958,4.96e-05,4.96e-05,4.96e-05
98,2684.36,0.47652,0.47248,0.81662,0.99279,0.99923,0.995,0.89947,0.43746,0.42875,0.81957,3.97e-05,3.97e-05,3.97e-05
99,2710.91,0.45552,0.44883,0.81818,0.99307,0.99923,0.995,0.89937,0.43644,0.42592,0.81977,2.98e-05,2.98e-05,2.98e-05
100,2738.1,0.47167,0.46133,0.82676,0.99326,0.99922,0.995,0.90006,0.43595,0.42381,0.82012,1.99e-05,1.99e-05,1.99e-05
